https://tokyo-kitchen.icook.network/uploads/recipe/cover/317717/large_e56c45d24101d596.jpg,1 white sea spaghetti sauce,chicken breast,carrots,onion,mushroom,milk powder,pasta,butter,salt,,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/317707/large_84bb8e3dbb536437.jpg,2 heinz tomato shrimp pasta,ketchup,cheese,salt,olive oil,onion,garlic,shrimp,clams,spaghetti,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/317649/large_8e79ce463f131856.jpg,3 pesto chicken mushroom pasta,chicken,onion,mushroom,spaghetti,cheese,milk,basil,garlic,nuts,shimizu,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/317376/large_5fb4c53f08aea751.jpg,4 seafood tomato pasta,tomatoes,onion,shrimp,clam broth,basil,garlic,ketchup,spices,spaghetti,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/317377/large_063fecef591f6d74.jpg,5 bacon tomato pasta,bacon,onion,basil leaves,tomato mud,water,black pepper,salt,olive oil,,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/317316/large_4b9f6605a49157d4.jpg,6 truffle wild mushroom cream pasta,spaghetti,onion,minced garlic,mushroom,mushroom,mushroom,mushroom,fresh cream,cheese,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/316979/large_c6a8711f9103f9f3.jpg,7 white sauce pasta,garlic,spaghetti,flour,butter,milk,salt,black pepper,chicken soup powder,fresh cream,coconut milk,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/315453/large_a99fdce2d66db5ba.jpg,8 creamy chicken pasta,spaghetti,chicken,mushroom,corn,cauliflower,milk,black pepper,butter,cheese,onion,carrots,salt,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/316529/large_d7f1d3d1fb9beb7f.jpg,9 chicken vegetable macaroni,macaroni,chicken,carrots,water,cabbage,cream,salt,garlic,chicken soup,salt,pepper,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/316454/large_c11813c8ff44a02b.jpg,10 chicken pepper sauce spaghetti,pasta,canned tomatoes,tomato puree,ketchup,onion,pepper,salt,chicken,cheese,black pepper,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/316452/large_bcc1623c07ef938a.jpg,11 white sauce seafood spaghetti,spaghetti,onion,shrimp,small squid,milk,salt,pepper,butter,garlic,cream,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/316372/large_882af715eb695a15.jpg,13 spaghetti bolognese sauce,tomatoes,diced canned tomatoes,mushroom,onion,meat,basil,red wine,butter,garlic,spaghetti,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/316103/large_4ea569651daab459.jpg,14 garlic herb shrimp spaghetti,spaghetti,shrimp,water,salt,garlic,wild herbs,garlic powder,black pepper,olive oil,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/315674/large_39ca16740cc63a2c.jpg,16 sweet potatoes seafood pasta,sweet potatoes,shrimp,clams,spaghetti,broccoli,mushroom,garlic,water,salt,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/315646/large_fb20799af7721dd2.jpg,17 tomato sauce seafood pasta,tomatoes,shrimp,onion,canned tomatoes,garlic,,,,,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/315639/large_420d8fd75b6a8458.jpg,18 garlic fried clams mushroom pasta,spaghetti,garlic,onion,basil,olive oil,salt,clams,baby corn,cherry tomatoes,mushroom,chili,basil powder,garlic oil,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/315585/large_57ea2908fdf2eafd.jpg,19 mushrooms and white wine chicken pasta,chicken breast,mushroom,garlic,shallots,spaghetti,salt,soy sauce,,,,,,,,,,,,,,,,
https://tokyo-kitchen.icook.network/uploads/recipe/cover/315284/large_72b5ed8a1feef47a.jpg,20 fried clams oyster mushroom pasta,clams,flour,mushroom,mushroom,minced garlic,red pepper,yuzu pepper sauce,green basil,,,,,,,,,,,,,,,
